,Start,End
0,2022-02-13 14:28:37.653724,2022-02-13 14:28:38.451996
1,2022-02-13 14:28:38.481890,2022-02-13 14:28:38.516455
2,2022-02-13 14:28:40.163153,2022-02-13 14:28:40.728726
3,2022-02-13 14:28:41.331414,2022-02-13 14:28:41.908492
4,2022-02-13 14:28:42.597202,2022-02-13 14:28:43.171600
5,2022-02-13 14:28:43.860524,2022-02-13 14:28:43.908814
6,2022-02-13 14:28:43.939650,2022-02-13 14:28:44.436084
7,2022-02-13 14:28:45.075195,2022-02-13 14:28:45.668300
8,2022-02-13 14:28:46.276868,2022-02-13 14:28:47.442352
9,2022-02-13 14:28:48.290630,2022-02-13 14:28:48.916812
10,2022-02-13 14:28:49.043906,2022-02-13 14:28:50.116607
11,2022-02-13 14:28:51.588254,2022-02-13 14:28:51.653803
12,2022-02-13 14:28:51.748516,2022-02-13 14:28:52.057943
